artist	album	s3_url
(르세라핌)	Perfect_Night_LE_SSERAFIM_(르세라핌)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(르세라핌)-Perfect_Night_LE_SSERAFIM_(르세라핌).jpg
(르세라핌)	Smart_LE_SSERAFIM_(르세라핌)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(르세라핌)-Smart_LE_SSERAFIM_(르세라핌).jpg
(르세라핌)	UNFORGIVEN_(feat._Nile_Rodgers)_LE_SSERAFIM_(르세라핌)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(르세라핌)-UNFORGIVEN_(feat._Nile_Rodgers)_LE_SSERAFIM_(르세라핌).jpg
(르세라핌)	"이브,_프시케_그리고_푸른_수염의_아내_LE_SSERAFIM_(르세라핌)"	"https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(르세라핌)-이브,_프시케_그리고_푸른_수염의_아내_LE_SSERAFIM_(르세라핌).jpg"
(리센느)	LOVE_ATTACK_RESCENE_(리센느)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(리센느)-LOVE_ATTACK_RESCENE_(리센느).jpg
(미야오)	HANDS_UP_MEOVV_(미야오)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(미야오)-HANDS_UP_MEOVV_(미야오).jpg
(미야오)	MEOW_MEOVV_(미야오)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(미야오)-MEOW_MEOVV_(미야오).jpg
(비비지)	MANIAC_VIVIZ_(비비지)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(비비지)-MANIAC_VIVIZ_(비비지).jpg
(빅뱅)	봄여름가을겨울_(Still_Life)_BIGBANG_(빅뱅)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(빅뱅)-봄여름가을겨울_(Still_Life)_BIGBANG_(빅뱅).jpg
(빅스)	"크리스마스니까_성시경,_박효신,_이석훈,_서인국,_VIXX_(빅스)"	"https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(빅스)-크리스마스니까_성시경,_박효신,_이석훈,_서인국,_VIXX_(빅스).jpg"
(아이들)	Super_Lady_i-dle_(아이들)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(아이들)-Super_Lady_i-dle_(아이들).jpg
(아이들)	Wife_i-dle_(아이들)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(아이들)-Wife_i-dle_(아이들).jpg
(아이들)	나는_아픈_건_딱_질색이니까_i-dle_(아이들)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(아이들)-나는_아픈_건_딱_질색이니까_i-dle_(아이들).jpg
(아이들)	퀸카_(Queencard)_i-dle_(아이들)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(아이들)-퀸카_(Queencard)_i-dle_(아이들).jpg
(아이들)	클락션_(Klaxon)_i-dle_(아이들)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(아이들)-클락션_(Klaxon)_i-dle_(아이들).jpg
(아이브)	ATTITUDE_IVE_(아이브)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(아이브)-ATTITUDE_IVE_(아이브).jpg
(아이브)	Accendio_IVE_(아이브)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(아이브)-Accendio_IVE_(아이브).jpg
(아이브)	After_LIKE_IVE_(아이브)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(아이브)-After_LIKE_IVE_(아이브).jpg
(아이브)	Baddie_IVE_(아이브)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(아이브)-Baddie_IVE_(아이브).jpg
(아이브)	Either_Way_IVE_(아이브)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(아이브)-Either_Way_IVE_(아이브).jpg
(아이브)	I_AM_IVE_(아이브)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(아이브)-I_AM_IVE_(아이브).jpg
(아이브)	Kitsch_IVE_(아이브)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(아이브)-Kitsch_IVE_(아이브).jpg
(아이브)	LOVE_DIVE_IVE_(아이브)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(아이브)-LOVE_DIVE_IVE_(아이브).jpg
(아이브)	Off_The_Record_IVE_(아이브)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(아이브)-Off_The_Record_IVE_(아이브).jpg
(아이브)	REBEL_HEART_IVE_(아이브)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(아이브)-REBEL_HEART_IVE_(아이브).jpg
(아이브)	해야_(HEYA)_IVE_(아이브)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(아이브)-해야_(HEYA)_IVE_(아이브).jpg
(악뮤)	Love_Lee_AKMU_(악뮤)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(악뮤)-Love_Lee_AKMU_(악뮤).jpg
(악뮤)	"어떻게_이별까지_사랑하겠어,_널_사랑하는_거지_AKMU_(악뮤)"	"https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(악뮤)-어떻게_이별까지_사랑하겠어,_널_사랑하는_거지_AKMU_(악뮤).jpg"
(악뮤)	후라이의_꿈_AKMU_(악뮤)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(악뮤)-후라이의_꿈_AKMU_(악뮤).jpg
(엔플라잉)	그랬나봐_유회승_(엔플라잉)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(엔플라잉)-그랬나봐_유회승_(엔플라잉).jpg
(최예나)	네모네모_YENA_(최예나)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(최예나)-네모네모_YENA_(최예나).jpg
(키키)	I_DO_ME_KiiiKiii_(키키)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(키키)-I_DO_ME_KiiiKiii_(키키).jpg
(투어스)	내가_S면_넌_나의_N이_되어줘_TWS_(투어스)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(투어스)-내가_S면_넌_나의_N이_되어줘_TWS_(투어스).jpg
(투어스)	마음_따라_뛰는_건_멋지지_않아?_TWS_(투어스)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(투어스)-마음_따라_뛰는_건_멋지지_않아_TWS_(투어스).jpg
(트리플에스)	Girls_Never_Die_tripleS_(트리플에스)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(트리플에스)-Girls_Never_Die_tripleS_(트리플에스).jpg
(하이키)	건물_사이에_피어난_장미_(Rose_Blossom)_H1-KEY_(하이키)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(하이키)-건물_사이에_피어난_장미_(Rose_Blossom)_H1-KEY_(하이키).jpg
(하츠투하츠)	The_Chase_Hearts2Hearts_(하츠투하츠)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(하츠투하츠)-The_Chase_Hearts2Hearts_(하츠투하츠).jpg
10CM	너에게_닿기를_10CM	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/10CM-너에게_닿기를_10CM.jpg
10CM	봄눈_10CM	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/10CM-봄눈_10CM.jpg
127	삐그덕_(Walk)_NCT_127	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/127-삐그덕_(Walk)_NCT_127.jpg
BABYMONSTER	DRIP_BABYMONSTER	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/BABYMONSTER-DRIP_BABYMONSTER.jpg
BABYMONSTER	SHEESH_BABYMONSTER	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/BABYMONSTER-SHEESH_BABYMONSTER.jpg
BOYNEXTDOOR	123-78_BOYNEXTDOOR	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/BOYNEXTDOOR-123-78_BOYNEXTDOOR.jpg
BOYNEXTDOOR	I_Feel_Good_BOYNEXTDOOR	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/BOYNEXTDOOR-I_Feel_Good_BOYNEXTDOOR.jpg
BOYNEXTDOOR	Nice_Guy_BOYNEXTDOOR	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/BOYNEXTDOOR-Nice_Guy_BOYNEXTDOOR.jpg
BOYNEXTDOOR	오늘만_I_LOVE_YOU_BOYNEXTDOOR	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/BOYNEXTDOOR-오늘만_I_LOVE_YOU_BOYNEXTDOOR.jpg
BOYNEXTDOOR	이렇게_좋아해_본_적이_없어요_BOYNEXTDOOR	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/BOYNEXTDOOR-이렇게_좋아해_본_적이_없어요_BOYNEXTDOOR.jpg
Bieber	"STAY_The_Kid_LAROI,_Justin_Bieber"	"https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/Bieber-STAY_The_Kid_LAROI,_Justin_Bieber.jpg"
Blanco	Summer_(Feat._BE’O_(비오))_Paul_Blanco	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/Blanco-Summer_(Feat._BE’O_(비오))_Paul_Blanco.jpg
Carey	All_I_Want_for_Christmas_Is_You_Mariah_Carey	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/Carey-All_I_Want_for_Christmas_Is_You_Mariah_Carey.jpg
Connection)	그대만_있다면_(여름날_우리_X_너드커넥션_(Nerd_Connection))_너드커넥션_(Nerd_Connection)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/Connection)-그대만_있다면_(여름날_우리_X_너드커넥션_(Nerd_Connection))_너드커넥션_(Nerd_Connection).jpg
Crush	미안해_미워해_사랑해_Crush	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/Crush-미안해_미워해_사랑해_Crush.jpg
DK(디셈버)	심(心)_DK(디셈버)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/DK(디셈버)-심(心)_DK(디셈버).jpg
EXO	첫_눈_EXO	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/EXO-첫_눈_EXO.jpg
Fike	"Love_Hangover_(feat._Dominic_Fike)_제니_(JENNIE),_Dominic_Fike"	"https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/Fike-Love_Hangover_(feat._Dominic_Fike)_제니_(JENNIE),_Dominic_Fike.jpg"
G-DRAGON	DRAMA_G-DRAGON	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/G-DRAGON-DRAMA_G-DRAGON.jpg
G-DRAGON	GYRO-DROP_G-DRAGON	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/G-DRAGON-GYRO-DROP_G-DRAGON.jpg
G-DRAGON	"HOME_SWEET_HOME_(feat._태양,_대성)_G-DRAGON"	"https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/G-DRAGON-HOME_SWEET_HOME_(feat._태양,_대성)_G-DRAGON.jpg"
G-DRAGON	IBELONGIIU_G-DRAGON	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/G-DRAGON-IBELONGIIU_G-DRAGON.jpg
G-DRAGON	PO￦ER_G-DRAGON	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/G-DRAGON-PO￦ER_G-DRAGON.jpg
G-DRAGON	TAKE_ME_G-DRAGON	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/G-DRAGON-TAKE_ME_G-DRAGON.jpg
G-DRAGON	TOO_BAD_(feat._Anderson_.Paak)_G-DRAGON	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/G-DRAGON-TOO_BAD_(feat._Anderson_.Paak)_G-DRAGON.jpg
G-DRAGON	"무제(無題)_(Untitled,_2014)_G-DRAGON"	"https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/G-DRAGON-무제(無題)_(Untitled,_2014)_G-DRAGON.jpg"
G-DRAGON	보나마나_(BONAMANA)_G-DRAGON	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/G-DRAGON-보나마나_(BONAMANA)_G-DRAGON.jpg
Grande	Last_Christmas_Ariana_Grande	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/Grande-Last_Christmas_Ariana_Grande.jpg
Grande	Santa_Tell_Me_Ariana_Grande	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/Grande-Santa_Tell_Me_Ariana_Grande.jpg
LIFE	Igloo_KISS_OF_LIFE	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/LIFE-Igloo_KISS_OF_LIFE.jpg
LIFE	Midas_Touch_KISS_OF_LIFE	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/LIFE-Midas_Touch_KISS_OF_LIFE.jpg
LIFE	Sticky_KISS_OF_LIFE	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/LIFE-Sticky_KISS_OF_LIFE.jpg
Lamar	Not_Like_Us_Kendrick_Lamar	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/Lamar-Not_Like_Us_Kendrick_Lamar.jpg
Lauv	"Steal_The_Show_(From_""Elemental"")_Lauv"	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/Lauv-Steal_The_Show_(From_Elemental)_Lauv.jpg
Legends	"GODS_NewJeans,_League_of_Legends"	"https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/Legends-GODS_NewJeans,_League_of_Legends.jpg"
Mars	"APT._로제_(ROS?),_Bruno_Mars"	"https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/Mars-APT._로제_(ROS?),_Bruno_Mars.jpg"
Mars	"Die_With_A_Smile_Lady_Gaga,_Bruno_Mars"	"https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/Mars-Die_With_A_Smile_Lady_Gaga,_Bruno_Mars.jpg"
Miguel	"Sweet_Dreams_(feat._Miguel)_j-hope,_Miguel"	"https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/Miguel-Sweet_Dreams_(feat._Miguel)_j-hope,_Miguel.jpg"
NMIXX	별별별_(See_that?)_NMIXX	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/NMIXX-별별별_(See_that)_NMIXX.jpg
NewJeans	Attention_NewJeans	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/NewJeans-Attention_NewJeans.jpg
NewJeans	Bubble_Gum_NewJeans	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/NewJeans-Bubble_Gum_NewJeans.jpg
NewJeans	Ditto_NewJeans	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/NewJeans-Ditto_NewJeans.jpg
NewJeans	ETA_NewJeans	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/NewJeans-ETA_NewJeans.jpg
NewJeans	How_Sweet_NewJeans	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/NewJeans-How_Sweet_NewJeans.jpg
NewJeans	Hype_Boy_NewJeans	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/NewJeans-Hype_Boy_NewJeans.jpg
NewJeans	OMG_NewJeans	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/NewJeans-OMG_NewJeans.jpg
NewJeans	Right_Now_NewJeans	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/NewJeans-Right_Now_NewJeans.jpg
NewJeans	Super_Shy_NewJeans	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/NewJeans-Super_Shy_NewJeans.jpg
NewJeans	Supernatural_NewJeans	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/NewJeans-Supernatural_NewJeans.jpg
PLAVE	12:32_(A_to_T)_PLAVE	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/PLAVE-1232_(A_to_T)_PLAVE.jpg
PLAVE	Chroma_Drift_PLAVE	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/PLAVE-Chroma_Drift_PLAVE.jpg
PLAVE	Dash_PLAVE	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/PLAVE-Dash_PLAVE.jpg
PLAVE	From_PLAVE	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/PLAVE-From_PLAVE.jpg
PLAVE	Island_PLAVE	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/PLAVE-Island_PLAVE.jpg
